media_source,country_code,romi,cps,revenue_per_subscriber,recommendation
ms_1,GP,-1.2899606866955113,15.508999,-4.497,❌ Зупинити
ms_1,FI,-1.2784759188210835,85.168567,-23.71739495,❌ Зупинити
ms_1,AM,-1.0,3.179908,0.0,❌ Зупинити
ms_1,BO,-1.0,7.486367,0.0,❌ Зупинити
ms_1,CN,-1.0,27.419586,0.0,❌ Зупинити
ms_1,CY,-1.0,10.096476333333333,0.0,❌ Зупинити
ms_1,BN,-1.0,7.099863,0.0,❌ Зупинити
ms_1,CG,-1.0,0.509996,0.0,❌ Зупинити
ms_1,KY,-1.0,12.339826,0.0,❌ Зупинити
ms_1,KZ,-1.0,10.209813,0.0,❌ Зупинити
ms_1,KH,-1.0,19.329553,0.0,❌ Зупинити
ms_1,HR,-1.0,28.429707999999998,0.0,❌ Зупинити
ms_1,GD,-1.0,0.809985,0.0,❌ Зупинити
ms_1,GT,-1.0,27.349152,0.0,❌ Зупинити
ms_1,MN,-1.0,13.769726,0.0,❌ Зупинити
ms_1,MK,-1.0,9.149754999999999,0.0,❌ Зупинити
ms_1,SI,-1.0,27.269579,0.0,❌ Зупинити
ms_1,TW,-1.0,12.126562,0.0,❌ Зупинити
ms_1,TT,-1.0,16.669887,0.0,❌ Зупинити
ms_1,TR,-1.0,34.579253333333334,0.0,❌ Зупинити
ms_1,VE,-1.0,16.639778999999997,0.0,❌ Зупинити
ms_2,CO,-1.0,12.476861,0.0,❌ Зупинити
ms_2,CR,-1.0,2.8209555,0.0,❌ Зупинити
ms_2,AT,-1.0,0.10806,0.0,❌ Зупинити
ms_2,EC,-1.0,5.051368,0.0,❌ Зупинити
ms_2,EG,-1.0,0.352885,0.0,❌ Зупинити
ms_1,NP,-1.0,4.949941,0.0,❌ Зупинити
ms_1,NI,-1.0,7.869854999999999,0.0,❌ Зупинити
ms_1,NC,-1.0,8.124531000000001,0.0,❌ Зупинити
ms_1,MU,-1.0,3.289921,0.0,❌ Зупинити
ms_2,PL,-1.0,0.1420115,0.0,❌ Зупинити
ms_2,NG,-1.0,4.795256666666667,0.0,❌ Зупинити
ms_2,SE,-1.0,2.89136,0.0,❌ Зупинити
ms_2,SI,-1.0,0.161608,0.0,❌ Зупинити
ms_2,TR,-1.0,1.298565,0.0,❌ Зупинити
ms_1,LU,-0.8410014967276351,38.114483,6.06014575,❌ Зупинити
ms_3,CA,-0.8281637188888069,11.616857142857144,1.9961975296285714,❌ Зупинити
ms_1,SA,-0.7778884764815687,25.093968999999998,5.5736596857142855,❌ Зупинити
ms_1,RO,-0.7315115077879153,14.22971527272727,3.820514798181818,❌ Зупинити
ms_1,HK,-0.6892741585652807,19.012899153846153,5.907799087692307,❌ Зупинити
ms_1,LV,-0.679470329561014,36.209289,11.60615147,❌ Зупинити
ms_1,VN,-0.6577937813760225,9.117586888888889,3.120094932222222,❌ Зупинити
